date,year,quarter,region,country,port,product_category,monthly_demand,logistics_cost,inventory_cost,fuel_cost,holding_cost,lead_time_days,service_level,fulfillment_rate,delay_probability,disruption_score,demand_volatility
2020-03-01,2020,1,Middle East,UAE,Singapore,Automotive,1161.922134525173,68276.3582768963,29475.27689304435,23896.725396913702,11790.11075721774,36.13947783322327,0.7,0.7234737192967475,0.428677755881779,0.34684102046061605,0.1542895867396687
2023-11-01,2023,4,Asia,China,Shanghai,FMCG,768.9792905632238,52664.946818776916,15392.140988341536,18432.73138657192,6156.856395336615,31.139716819093238,0.7405023598408897,0.7422349690522697,0.40271381682060764,0.4462812190603359,0.19162035613564546
2023-12-01,2023,4,Europe,Germany,Dubai,Pharma,493.320096067477,63433.08333874205,24675.15580709003,22201.579168559718,9870.062322836013,21.19121794920133,0.8234065170899889,0.7668951073951371,0.25411392294981905,0.20431236938709096,0.10454734164087262
2024-03-01,2024,1,Europe,Netherlands,Singapore,Automotive,897.7370245690172,58380.78729598067,18970.226988641487,20433.275553593234,7588.0907954565955,22.742507358820845,0.8104791053431596,0.751047819021629,0.2919711324340327,0.3727604833517376,0.4124808073017634
2023-05-01,2023,2,Africa,Kenya,Los Angeles,Electronics,1115.2040750371593,51031.081659569776,14939.480459844293,17860.87858084942,5975.792183937718,25.89339675682267,0.7842216936931444,0.7863985338168193,0.27393936289682114,0.2566617089330218,0.25090440866761365
2022-05-01,2022,2,North America,USA,Los Angeles,Electronics,773.3198328550176,49054.97225306047,19328.07307695835,17169.240288571164,7731.22923078334,41.75153028345914,0.7,0.7561949167270018,0.511406161813794,0.44228096390144717,0.33812131748602914
2022-11-01,2022,4,North America,USA,Dubai,Electronics,1243.2408834389469,59547.1455667513,40233.77752176004,20841.500948362955,16093.511008704018,22.636873559460994,0.8113593870044917,0.8312913065052518,0.24847761295360707,0.19001949160999773,0.2069637654590537
2020-11-01,2020,4,Middle East,Saudi Arabia,Dubai,Automotive,925.2481623835331,69475.04599209648,24942.398461850848,24316.266097233765,9976.95938474034,32.34447396516458,0.7304627169569617,0.6856311977714145,0.3288669431900175,0.3202903374261816,0.1747067282552182
2024-02-01,2024,1,Middle East,Saudi Arabia,Shanghai,Pharma,1342.965533387444,52106.63952745799,18460.218903844674,18237.323834610295,7384.08756153787,27.05739420693791,0.7745217149421841,0.7108350339352063,0.2860400798691402,0.3479501227766718,0.2004090765313969
2023-03-01,2023,1,Africa,Egypt,Rotterdam,FMCG,941.3532166562132,44202.52785498448,16581.029909609577,15470.884749244568,6632.4119638438315,13.267202642501886,0.889439977979151,0.8262529514408317,0.14663919569387646,0.12436846136014755,0.19780988435318733
2023-08-01,2023,3,Asia,China,Los Angeles,Electronics,1025.5869206374166,44808.688633423844,22866.524596601164,15683.041021698344,9146.609838640466,27.927770842088876,0.767268576315926,0.796004036696596,0.28923365389510447,0.28740328388504766,0.29142582516120163
2024-10-01,2024,4,Africa,Kenya,Rotterdam,FMCG,1187.9832581716935,44686.37186113229,22269.359688445114,15640.230151396301,8907.743875378046,45.47071840742495,0.7,0.6959514597027716,0.48440738634937514,0.40309700457540804,0.268600260127049
2023-04-01,2023,2,North America,Canada,Shanghai,Automotive,964.1344425923277,57404.04530858156,27015.245881715735,20091.415858003544,10806.098352686295,36.98653575271541,0.7,0.6897174932996665,0.33878734077869266,0.37858490639073705,0.1499506963813655
2019-02-01,2019,1,Middle East,UAE,Shanghai,Automotive,869.3846301168543,77507.28411643156,20914.525173555558,27127.549440751045,8365.810069422223,40.188822035426185,0.7,0.7423307178432398,0.48735010320435945,0.5915429114569647,0.2377365833221583
2024-12-01,2024,4,Middle East,UAE,Los Angeles,Electronics,1163.2620777624402,63232.24958555254,14087.709217245876,22131.28735494339,5635.083686898351,21.248476727452207,0.8229293606045649,0.9669022052781837,0.1959353026099477,0.25406430614858655,0.09359407475881722
2020-10-01,2020,4,Asia,Vietnam,Singapore,Automotive,993.678093607218,60544.08257829075,18562.43295083714,21190.42890240176,7424.973180334857,54.67505576549307,0.7,0.6731019998154002,0.7442217275696767,0.7408806306702785,0.20750123441215576
2020-07-01,2020,3,Africa,Kenya,Los Angeles,Automotive,1369.962193799638,54761.291375253546,9300.493627006857,19166.45198133874,3720.1974508027433,43.05492431674388,0.7,0.6836388306817066,0.5037168130474475,0.6406487571661034,0.2484903490479268
2021-08-01,2021,3,Asia,Vietnam,Rotterdam,FMCG,513.9426015626001,52569.124929562444,12525.567327728073,18399.193725346853,5010.22693109123,31.385447406809455,0.7384546049432545,0.7191887359568127,0.3045343215989373,0.3255485102560214,0.21229800847564223
2019-02-01,2019,1,North America,Mexico,Dubai,FMCG,1220.7094151273475,44608.34736685062,9188.672185960639,15612.921578397716,3675.4688743842557,33.741736619984934,0.7188188615001255,0.7963905587046581,0.3493835236876195,0.3727601556326598,0.10533875028364649
2024-06-01,2024,2,Middle East,Saudi Arabia,Dubai,Automotive,1123.7489135479236,39039.049552131015,17269.800956074603,13663.667343245854,6907.920382429842,26.69790709447915,0.7775174408793404,0.7477352582891243,0.1970665228343087,0.23583372554725002,0.23408206934672016
2024-08-01,2024,3,Middle East,UAE,Shanghai,Pharma,902.149546979542,55256.2711690601,19356.833149033242,19339.694909171034,7742.733259613297,26.110261713975007,0.7824144857168749,0.7027653960039016,0.26841693909366415,0.22829298629945285,0.34250328616210934
2021-10-01,2021,4,Europe,Germany,Singapore,Pharma,830.6460830713108,53252.74098490716,33468.83963606338,18638.459344717507,13387.535854425352,23.69918471712903,0.8025067940239248,0.7063255734166608,0.2041456162375401,0.15762058301202791,0.21831763457843503
2022-11-01,2022,4,Middle East,UAE,Rotterdam,Pharma,940.6520096983328,72464.06816566765,12230.345153120841,25362.423857983675,4892.138061248336,29.15905196202869,0.7570079003164276,0.8567559788943101,0.25897982416509124,0.2769815269789342,0.1647964410642413
2019-01-01,2019,1,North America,Mexico,Singapore,FMCG,1032.6851443215228,56813.2204130915,20889.090388274893,19884.627144582024,8355.636155309958,39.37948625913794,0.7,0.6734299994519835,0.4750051311719711,0.3691265881064906,0.344716546321613
2019-12-01,2019,4,North America,USA,Dubai,Pharma,1109.8317850258586,60872.5316715473,17081.403403685836,21305.386085041555,6832.561361474334,31.66078609028576,0.7361601159142853,0.691910592554952,0.3285600246820378,0.23457975394528352,0.1528508194444631
2021-05-01,2021,2,Africa,Kenya,Shanghai,FMCG,1212.4005242552562,50608.92750626319,22967.599351290286,17713.124627192115,9187.039740516115,43.42644407858316,0.7,0.7937234437429755,0.5630570607872158,0.4372779047958481,0.24223683416211791
2023-07-01,2023,3,Africa,Kenya,Dubai,FMCG,1206.3540872470076,59762.11563200766,27832.872842925975,20916.74047120268,11133.14913717039,45.16803073306207,0.7,0.6659023514352518,0.4863536703154613,0.4540213681880024,0.17831676301691662
2020-04-01,2020,2,Europe,Poland,Singapore,FMCG,846.7263292729056,64459.07506134289,12820.037184718867,22560.67627147001,5128.014873887547,36.16542663618489,0.7,0.6666471948265104,0.3668807448307918,0.3777834607733331,0.1992946363003354
2020-06-01,2020,2,Africa,Egypt,Singapore,Automotive,1022.5181467454153,50992.76522960575,16967.346357248818,17847.46783036201,6786.938542899527,19.1457161246515,0.8404523656279042,0.9195350619086314,0.21668062987499725,0.22725101528516645,0.2231906249229701
